Rowid_,FID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,72,15459,12595015843.493551254272461,392,838,446,428.722233003428414,35.163541170209520,6627617.000000000000000,201,397,572,415
,73,29827,24301153862.726058959960938,415,973,558,551.248231468132872,97.001180182465575,16442081.000000000000000,540,503,415,524
,74,14189,11560300136.058605194091797,423,652,229,447.624497850447540,19.346456646456609,6351344.000000000000000,121,437,522,440
,75,12344,10057110781.556657791137695,461,1015,554,624.911373946856770,96.172293814092598,7713906.000000000000000,455,542,461,611
,76,6752,5501102721.732871055603027,643,976,333,809.764366113744131,54.473285914568436,5467529.000000000000000,313,813,644,813
,77,54121,44094369135.501289367675781,412,1585,1173,452.256721050978342,73.205853134336877,24476586.000000000000000,635,419,642,431
,78,72403,58989386901.899444580078125,428,842,414,560.117522754581955,58.496515629322289,40554189.000000000000000,377,510,770,555
,79,89428,72860280538.970260620117188,385,502,117,405.020843583665055,7.369108872303220,36220204.000000000000000,110,402,385,404
,80,419,341374709.775780916213989,952,1934,982,1171.844868735083537,274.127615685299702,491003.000000000000000,218,989,952,1022
,81,34248,27903105156.088176727294922,387,446,59,398.372372109320224,8.103212776568562,13643457.000000000000000,60,392,445,397
,82,3336,2717961889.766122341156006,449,483,34,463.620803357314173,8.121184148172057,1546639.000000000000000,35,454,449,463
,83,1190,969536765.234318137168884,366,1383,1017,451.505042016806726,138.102134503453641,537291.000000000000000,252,377,437,403
,84,291,237088402.254778653383255,396,442,46,415.907216494845386,9.798396468389832,121029.000000000000000,44,414,396,415
,85,7839,6386721598.883882522583008,383,440,57,392.340221967087643,5.838337780220904,3075555.000000000000000,55,393,433,392
,86,15925,12974683181.812198638916016,389,409,20,398.521004709576118,3.599356509073816,6346447.000000000000000,21,396,409,398
,87,4668,3803191277.406552314758301,532,1295,763,881.133033419023150,164.252876280376768,4113129.000000000000000,692,918,532,891
,88,744,606164162.465825796127319,409,1453,1044,605.283602150537604,125.582723239591601,450331.000000000000000,339,599,409,593
,89,30225,24625419100.174175262451172,418,1502,1084,541.443374689826328,148.273449943585888,16365126.000000000000000,820,446,418,484
,90,6553,5338970103.008812904357910,-4,83,87,16.231649626125439,10.028163879148089,106366.000000000000000,77,11,-4,14
,91,107303,87423700436.922729492187500,-4,838,842,160.821878232668240,141.321939276423052,17256670.000000000000000,711,17,-4,107
,92,5886,4795540672.411089897155762,2,94,92,40.984879374787631,18.147354595314429,241237.000000000000000,92,31,88,37
,93,133467,108740473483.637603759765625,-9,465,474,175.982040504394348,83.020174141261805,23487795.000000000000000,475,155,-8,173
,94,5095,4151083881.402395725250244,13,66,53,33.797448478900883,10.435925031921197,172198.000000000000000,54,26,66,32
,95,157803,128567907701.068161010742188,-1,2047,2048,453.923208050544019,271.051227241595143,71630444.000000000000000,1814,353,1336,420
,96,23037,18769091143.447887420654297,235,646,411,339.969657507487966,68.798687800682487,7831881.000000000000000,400,351,235,331
,97,134092,109249683969.580001831054688,0,733,733,257.716269426960594,182.647936982463534,34557690.000000000000000,731,75,725,220
,98,4633,3774675490.193778514862061,174,470,296,286.677314914742055,72.473198281838606,1328176.000000000000000,295,196,395,289
,99,3546,2889056613.042766571044922,2,123,121,25.322053017484489,15.088404794307973,89792.000000000000000,97,33,54,26
