Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
,0,446,54,54480.881236675675609
,0,447,54,433028.854296298639383
,0,448,54,94384.040411725523882
,0,449,54,198266.992568557703635
,0,450,54,308020.407494497136213
,0,451,54,123544.448900593401049
,0,452,54,105706.361608584047644
,0,453,52,8213.228981913198368
,0,454,54,161849.376853719673818
,0,455,54,72773.456214993711910
,0,456,54,146887.003741353022633
,0,457,54,230846.581879831734113
,0,458,54,30764.317890824942879
,0,459,54,62556.685778225903050
,0,460,54,68219.357140552587225
,0,461,54,1070892.131041168002412
,0,462,54,856563.084933834150434
,0,463,54,860638.066777905332856
,0,464,54,708140.107236241223291
,0,465,54,920907.282267767470330
,0,466,54,713327.196976699982770
,0,467,54,1132027.243418073747307
,0,468,54,639163.179931512684561
,0,469,54,686605.957781882490963
,0,470,54,817977.625250558950938
,0,471,54,1005774.792050345102325
,0,472,54,666063.663713144487701
,0,473,54,847206.221472156816162
,0,474,54,1097679.355735052376986
,0,475,54,1063912.425622707698494
,0,476,54,1084448.782859563594684
,0,477,54,879586.650226138415746
,0,478,54,864432.491800437564962
,0,479,54,927042.433132066624239
,0,480,54,1065006.977456053951755
,0,481,54,1026706.038909827708267
,0,482,54,927985.580882681533694
,0,483,54,719945.379551944788545
,0,484,54,682203.084343423834071
,0,485,54,1097129.712334705749527
,0,486,54,690753.236965502495877
,0,487,54,1138464.488838052377105
,0,488,54,1064599.349985282169655
,0,489,54,1113225.030508730327711
,0,490,54,743830.920383570832200
,0,491,54,1019515.448083790251985
,0,492,54,983631.602965945727192
,0,493,54,847539.494402295560576
,0,494,54,1102714.970259726513177
,0,495,54,658983.684781084884889
,0,496,54,999088.573852789588273
,0,497,54,14445.739139118259118
,0,498,54,53990.704349113082571
,0,499,54,212611.762422788626282
,0,500,54,192235.636778855870944
,0,501,54,191528.584410547220614
,0,502,54,141569.171755310089793
,0,503,54,103693.686340591651970
,0,504,54,96561.549184790201252
,0,505,54,20103.113513753753068
,0,506,54,6901.475564403162025
,0,507,54,119401.373737025962328
,0,508,54,68335.678946436382830
,0,509,54,204739.169479189993581
,0,510,54,1113.108303774784872
,0,511,54,22220.054602950542176
,0,512,54,26491.491517048943933
,0,513,54,13630.045417271949191
,0,514,54,290391.460634263290558
,0,515,54,436669.019120581331663
,0,516,54,228260.441627080028411
,0,517,54,274508.656303998955991
,0,518,54,221727.533094481972512
,0,519,54,370547.017575155419763
,0,520,54,313994.094360972172581
,0,521,54,257644.312208843475673
,0,522,54,26326.217989483506244
,0,523,54,50294.204580215948226
,0,524,54,430296.272384981333744
,0,525,54,183895.081209354364546
,0,526,54,241949.023861563415267
,0,527,54,63000.518019331531832
,0,528,54,203790.922525446250802
,0,529,54,274027.705215912894346
,0,530,54,247434.660320010181749
,0,531,54,130712.224412078969181
,0,532,54,55044.489799809809483
,0,533,54,181747.301422231364995
,0,534,54,84195.931740150525002
,0,535,54,50501.532146166100574
,0,536,54,226914.011684343073284
,0,537,54,147269.366668991831830
,0,538,54,132117.123213849030435
,0,539,54,35546.304837207397213
,0,540,54,158642.867966160149081
,0,541,54,197404.949160020798445
,0,542,54,104235.734652637213003
,0,543,54,27277.681425655853673
,0,544,54,202188.947632023453480
,0,545,54,1598109.952232148731127
,0,546,54,1322709.867372446926311
,0,547,54,1101866.829428417608142
,0,548,54,698243.232560562086292
,0,549,54,796003.758352005155757
,0,550,54,865532.264435631572269
,0,551,54,1113222.041285339510068
,0,552,54,1324371.624502567574382
,0,553,54,1591794.890344899613410
,0,554,54,551803.043243539053947
