Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
,0,205,43,248908.323040156741627
,0,206,40,135327.880129171942826
,0,207,46,640364.227743163821287
,0,208,43,422754.952451725839637
,0,209,43,553968.163511473336257
,0,210,43,246920.664445578993764
,0,211,45,257292.329854884359520
,0,212,41,185934.776517843420152
,0,213,45,149007.753615972906118
,0,214,45,385814.357997444341891
,0,215,40,247321.774450824537780
,0,216,45,510249.998500094516203
,0,217,45,431512.599741603189614
,0,218,46,478667.741906071954872
,0,219,43,63661.391417870516307
,0,220,43,193546.482313951477408
,0,221,29,358459.588631528953556
,0,222,29,125212.161583680921467
,0,223,29,234312.935689341858961
,0,224,29,562455.778787500108592
,0,225,35,15065.535441679414362
,0,226,36,29870.509043362832017
,0,227,3,485682.688552549574524
,0,228,3,182243.527330835786415
,0,229,3,356491.066362777666654
,0,230,3,208979.335382606775966
,0,231,1,509288.614481400465593
,0,232,3,336834.073957435146440
,0,233,3,421235.084649667784106
,0,234,3,613755.343584677786566
,0,235,3,357838.670352582412306
,0,236,3,483126.416786551126279
,0,237,3,559548.760539876064286
,0,238,1,778853.580357908038422
,0,239,3,149242.405863763706293
,0,240,1,844995.024218146689236
,0,241,3,336227.975688556500245
,0,242,3,396168.838299093244132
,0,243,3,553152.942697389167733
,0,244,3,757919.277640384389088
,0,245,3,350138.148850615660194
,0,246,3,281562.522899254399817
,0,247,3,388394.018658268381841
,0,248,3,492944.272176483820658
,0,249,1,485227.234659070905764
,0,250,1,370674.594905332603958
,0,251,1,782581.951091879513115
,0,252,3,785953.037144517060369
,0,253,3,845938.017231077770703
,0,254,3,835690.929352761362679
,0,255,51,493555.780214980419260
,0,256,14,222240.753559193253750
,0,257,14,309740.895998934924137
,0,258,14,119303.092152212033398
,0,259,51,327313.692419327329844
,0,260,15,376360.419846481701825
,0,261,51,512150.634913922403939
,0,262,15,322810.130938305461314
,0,263,14,368321.289707407704554
,0,264,52,94362.890578168327920
,0,265,15,537550.095371783128940
